ticker,event_type,date_et,start_time_et,youtube_url
MSFT,Keynote,2025-05-19,12:00:00,https://www.youtube.com/watch?v=ceV3RsG946s
AAPL,Keynote,2025-06-09,13:00:00,https://www.youtube.com/watch?v=0_DjDdfqtUE
NVDA,Keynote,2025-03-18,13:00:00,https://www.youtube.com/watch?v=_waPvOwL9Z8
GOOGL,Keynote,2025-05-20,13:00:00,https://www.youtube.com/watch?v=o8NiE3XMPrM
PFE,Earnings Call,2025-05-01,10:00:00,https://www.youtube.com/watch?v=u3oXVIJ5J6c
PFE,Earnings Call,2025-08-05,10:00:00,https://www.youtube.com/watch?v=KtAA4nRqbs0
SPY,Jackson Hole Speech,2025-08-22,10:00:00,https://www.youtube.com/watch?v=CI3o6hi3zF0
QQQ,Jackson Hole Speech,2025-08-22,10:00:00,https://www.youtube.com/watch?v=CI3o6hi3zF0
DIA,Jackson Hole Speech,2025-08-22,10:00:00,https://www.youtube.com/watch?v=CI3o6hi3zF0
SPY,FOMC Press Conference,2025-07-30,14:30:00,https://www.youtube.com/watch?v=tt1n8ceFmSY
QQQ,FOMC Press Conference,2025-07-30,14:30:00,https://www.youtube.com/watch?v=tt1n8ceFmSY
DIA,FOMC Press Conference,2025-07-30,14:30:00,https://www.youtube.com/watch?v=tt1n8ceFmSY
SPY,FOMC Press Conference,2025-05-07,14:30:00,https://www.youtube.com/watch?v=mu6VPhhZfkQ
QQQ,FOMC Press Conference,2025-05-07,14:30:00,https://www.youtube.com/watch?v=mu6VPhhZfkQ
DIA,FOMC Press Conference,2025-05-07,14:30:00,https://www.youtube.com/watch?v=mu6VPhhZfkQ
SPY,FOMC Press Conference,2025-06-18,14:30:00,https://www.youtube.com/watch?v=iAiL1UMgkYQ
QQQ,FOMC Press Conference,2025-06-18,14:30:00,https://www.youtube.com/watch?v=iAiL1UMgkYQ
DIA,FOMC Press Conference,2025-06-18,14:30:00,https://www.youtube.com/watch?v=iAiL1UMgkYQ
AMZN,Keynote,2025-07-16,11:00:00,https://www.youtube.com/watch?v=2890bEb61qQ
AMZN,Keynote,2024-12-04,11:00:00,https://www.youtube.com/watch?v=qGzYTg5FIA4
AMZN,Keynote,2023-11-28,11:00:00,https://www.youtube.com/watch?v=PMfn9_nTDbM
AMZN,Keynote,2024-12-03,11:00:00,https://www.youtube.com/watch?v=LY7m5LQliAo
MSFT,Keynote,2024-05-21,12:00:00,https://www.youtube.com/watch?v=8OviTSFqucI
MSFT,Keynote,2024-11-19,09:00:00,https://www.youtube.com/watch?v=3YiB2OvK6sY
MSFT,Keynote,2023-05-23,12:00:00,https://www.youtube.com/watch?v=FaV0tIaWWEg
MSFT,Keynote,2023-11-15,12:00:00,https://www.youtube.com/watch?v=FZhbJZEgKQ4
MSFT,Special Event,2023-09-21,13:00:00,https://www.youtube.com/watch?v=XYUEQ0SyOyE
AAPL,Keynote,2024-06-10,13:00:00,https://www.youtube.com/watch?v=RXeOiIDNNek
NVDA,Keynote,2024-03-18,16:00:00,https://www.youtube.com/watch?v=Y2F8yisiS6E
NVDA,Keynote,2023-03-21,11:00:00,https://www.youtube.com/watch?v=DiGB5uAYKAg
NVDA,Keynote,2023-08-08,11:00:00,https://www.youtube.com/watch?v=Z2VBKerS63A
GOOGL,Keynote,2024-05-14,13:00:00,https://www.youtube.com/watch?v=XEzRZ35urlk
GOOGL,Keynote,2023-05-10,13:00:00,https://www.youtube.com/watch?v=cNfINi5CNbY
GOOGL,Keynote,2022-05-11,13:00:00,https://www.youtube.com/watch?v=nP-nMZpLM1A
GOOGL,Special Event,2023-10-04,10:00:00,https://www.youtube.com/watch?v=pxlaUCJZ27E
META,Keynote,2024-09-25,13:00:00,https://www.youtube.com/watch?v=I7JyydkqDeI
AAPL,Keynote,2023-06-05,13:00:00,https://www.youtube.com/watch?v=GYkq9Rgoj8E
AAPL,Keynote,2022-06-06,13:00:00,https://www.youtube.com/watch?v=q5D55G7Ejs8
AAPL,Special Event,2023-09-12,13:00:00,https://www.youtube.com/watch?v=ZiP1l7jlIIA
AAPL,Special Event,2024-05-07,10:00:00,https://www.youtube.com/watch?v=f1J38FlDKxo
AAPL,Special Event,2024-09-09,13:00:00,https://www.youtube.com/watch?v=uarNiSl_uh4
AAPL,Special Event,2022-09-07,13:00:00,https://www.youtube.com/watch?v=ux6zXguiqxM
PFE,Earnings Call,2024-05-01,10:00:00,https://www.youtube.com/watch?v=NCa5qDE_DOc
PFE,Earnings Call,2024-07-30,10:30:00,https://www.youtube.com/watch?v=fwvYm4bOfdE
PFE,Earnings Call,2024-10-29,10:00:00,https://www.youtube.com/watch?v=iiGm14Yr3_c
PFE,Earnings Call,2025-02-04,10:30:00,https://www.youtube.com/watch?v=-iYGfpE13Hg
SPY,Jackson Hole Speech,2024-08-23,10:00:00,https://www.youtube.com/watch?v=zpiMF6bZ0sg
QQQ,Jackson Hole Speech,2024-08-23,10:00:00,https://www.youtube.com/watch?v=zpiMF6bZ0sg
DIA,Jackson Hole Speech,2024-08-23,10:00:00,https://www.youtube.com/watch?v=zpiMF6bZ0sg
SPY,FOMC Press Conference,2025-03-19,14:30:00,https://www.youtube.com/watch?v=zmfyoadWHME
QQQ,FOMC Press Conference,2025-03-19,14:30:00,https://www.youtube.com/watch?v=zmfyoadWHME
DIA,FOMC Press Conference,2025-03-19,14:30:00,https://www.youtube.com/watch?v=zmfyoadWHME
SPY,FOMC Press Conference,2025-01-29,14:30:00,https://www.youtube.com/watch?v=REimusg6un4
QQQ,FOMC Press Conference,2025-01-29,14:30:00,https://www.youtube.com/watch?v=REimusg6un4
DIA,FOMC Press Conference,2025-01-29,14:30:00,https://www.youtube.com/watch?v=REimusg6un4
SPY,FOMC Press Conference,2024-12-18,14:30:00,https://www.youtube.com/watch?v=nsNgk46qHgw
QQQ,FOMC Press Conference,2024-12-18,14:30:00,https://www.youtube.com/watch?v=nsNgk46qHgw
DIA,FOMC Press Conference,2024-12-18,14:30:00,https://www.youtube.com/watch?v=nsNgk46qHgw
SPY,FOMC Press Conference,2024-11-07,14:30:00,https://www.youtube.com/watch?v=3adfVQCpEBk
QQQ,FOMC Press Conference,2024-11-07,14:30:00,https://www.youtube.com/watch?v=3adfVQCpEBk
DIA,FOMC Press Conference,2024-11-07,14:30:00,https://www.youtube.com/watch?v=3adfVQCpEBk
SPY,FOMC Press Conference,2024-09-18,14:30:00,https://www.youtube.com/watch?v=8S7JjIcIrkI
QQQ,FOMC Press Conference,2024-09-18,14:30:00,https://www.youtube.com/watch?v=8S7JjIcIrkI
DIA,FOMC Press Conference,2024-09-18,14:30:00,https://www.youtube.com/watch?v=8S7JjIcIrkI
SPY,FOMC Press Conference,2024-07-31,14:30:00,https://www.youtube.com/watch?v=d1wx4mCqYF8
QQQ,FOMC Press Conference,2024-07-31,14:30:00,https://www.youtube.com/watch?v=d1wx4mCqYF8
DIA,FOMC Press Conference,2024-07-31,14:30:00,https://www.youtube.com/watch?v=d1wx4mCqYF8
SPY,FOMC Press Conference,2024-06-12,14:30:00,https://www.youtube.com/watch?v=q3ZE5tF_IMU
QQQ,FOMC Press Conference,2024-06-12,14:30:00,https://www.youtube.com/watch?v=q3ZE5tF_IMU
DIA,FOMC Press Conference,2024-06-12,14:30:00,https://www.youtube.com/watch?v=q3ZE5tF_IMU
SPY,FOMC Press Conference,2024-05-01,14:30:00,https://www.youtube.com/watch?v=hiXDxXbSAC8
QQQ,FOMC Press Conference,2024-05-01,14:30:00,https://www.youtube.com/watch?v=hiXDxXbSAC8
DIA,FOMC Press Conference,2024-05-01,14:30:00,https://www.youtube.com/watch?v=hiXDxXbSAC8
SPY,FOMC Press Conference,2024-03-20,14:30:00,https://www.youtube.com/watch?v=UYnc6bsgkJQ
QQQ,FOMC Press Conference,2024-03-20,14:30:00,https://www.youtube.com/watch?v=UYnc6bsgkJQ
DIA,FOMC Press Conference,2024-03-20,14:30:00,https://www.youtube.com/watch?v=UYnc6bsgkJQ
SPY,FOMC Press Conference,2024-01-31,14:30:00,https://www.youtube.com/watch?v=eIcrvB5Rf9k
QQQ,FOMC Press Conference,2024-01-31,14:30:00,https://www.youtube.com/watch?v=eIcrvB5Rf9k
DIA,FOMC Press Conference,2024-01-31,14:30:00,https://www.youtube.com/watch?v=eIcrvB5Rf9k
SPY,FOMC Press Conference,2023-12-13,14:30:00,https://www.youtube.com/watch?v=hQYXqwNDA88
QQQ,FOMC Press Conference,2023-12-13,14:30:00,https://www.youtube.com/watch?v=hQYXqwNDA88
DIA,FOMC Press Conference,2023-12-13,14:30:00,https://www.youtube.com/watch?v=hQYXqwNDA88
SPY,FOMC Press Conference,2023-11-01,14:30:00,https://www.youtube.com/watch?v=ohuJH9fld3w
QQQ,FOMC Press Conference,2023-11-01,14:30:00,https://www.youtube.com/watch?v=ohuJH9fld3w
DIA,FOMC Press Conference,2023-11-01,14:30:00,https://www.youtube.com/watch?v=ohuJH9fld3w
SPY,FOMC Press Conference,2023-09-20,14:30:00,https://www.youtube.com/watch?v=rqlVjLpYNMA
QQQ,FOMC Press Conference,2023-09-20,14:30:00,https://www.youtube.com/watch?v=rqlVjLpYNMA
DIA,FOMC Press Conference,2023-09-20,14:30:00,https://www.youtube.com/watch?v=rqlVjLpYNMA
SPY,FOMC Press Conference,2023-07-26,14:30:00,https://www.youtube.com/watch?v=t1RDj1CMnLA
QQQ,FOMC Press Conference,2023-07-26,14:30:00,https://www.youtube.com/watch?v=t1RDj1CMnLA
DIA,FOMC Press Conference,2023-07-26,14:30:00,https://www.youtube.com/watch?v=t1RDj1CMnLA
SPY,FOMC Press Conference,2023-06-14,14:30:00,https://www.youtube.com/watch?v=WjXa3vA9s_o
QQQ,FOMC Press Conference,2023-06-14,14:30:00,https://www.youtube.com/watch?v=WjXa3vA9s_o
DIA,FOMC Press Conference,2023-06-14,14:30:00,https://www.youtube.com/watch?v=WjXa3vA9s_o
SPY,FOMC Press Conference,2023-05-03,14:30:00,https://www.youtube.com/watch?v=ifqyTQ0Ifrw
QQQ,FOMC Press Conference,2023-05-03,14:30:00,https://www.youtube.com/watch?v=ifqyTQ0Ifrw
DIA,FOMC Press Conference,2023-05-03,14:30:00,https://www.youtube.com/watch?v=ifqyTQ0Ifrw
SPY,FOMC Press Conference,2023-03-22,14:30:00,https://www.youtube.com/watch?v=y3dt5ZyL2OU
QQQ,FOMC Press Conference,2023-03-22,14:30:00,https://www.youtube.com/watch?v=y3dt5ZyL2OU
DIA,FOMC Press Conference,2023-03-22,14:30:00,https://www.youtube.com/watch?v=y3dt5ZyL2OU
SPY,FOMC Press Conference,2023-02-01,14:30:00,https://www.youtube.com/watch?v=3Iv4aCN0OOo
QQQ,FOMC Press Conference,2023-02-01,14:30:00,https://www.youtube.com/watch?v=3Iv4aCN0OOo
DIA,FOMC Press Conference,2023-02-01,14:30:00,https://www.youtube.com/watch?v=3Iv4aCN0OOo
SPY,FOMC Press Conference,2022-12-14,14:30:00,https://www.youtube.com/watch?v=Q8FmkU6-fAM
QQQ,FOMC Press Conference,2022-12-14,14:30:00,https://www.youtube.com/watch?v=Q8FmkU6-fAM
DIA,FOMC Press Conference,2022-12-14,14:30:00,https://www.youtube.com/watch?v=Q8FmkU6-fAM
SPY,FOMC Press Conference,2022-11-02,14:30:00,https://www.youtube.com/watch?v=CUx1RNvZ8z0
